X, Y, Z
-8.500000000000000000e+00,0.5,151.248687744141
-8.500000000000000000e+00,1,151.266586303711
-8.500000000000000000e+00,1.5,151.126098632813
-8.500000000000000000e+00,2,150.456985473633
-8.500000000000000000e+00,2.5,147.743850708008
-8.500000000000000000e+00,3,139.666549682617
-8.500000000000000000e+00,3.5,127.289344787598
-8.500000000000000000e+00,4,113.973480224609
-8.500000000000000000e+00,4.5,101.042602539062
-8.500000000000000000e+00,5,93.8680038452148
-8.500000000000000000e+00,5.5,90.8398056030273
-8.500000000000000000e+00,6,88.5202026367188
-8.500000000000000000e+00,6.5,83.0862503051758
-8.500000000000000000e+00,7,68.6142807006836
-8.500000000000000000e+00,7.5,46.9606590270996
-8.500000000000000000e+00,8,26.4086971282959
-8.500000000000000000e+00,8.5,5.64577102661133
-8.500000000000000000e+00,9,-9.41209602355957
-8.500000000000000000e+00,9.5,-17.4922485351562
-8.500000000000000000e+00,10,-23.7962455749512
-8.500000000000000000e+00,-10,-130.354675292969
-8.000000000000000000e+00,-9.5,-128.690780639648
-8.000000000000000000e+00,-9,-123.825294494629
-8.000000000000000000e+00,-8.5,-109.627288818359
-8.000000000000000000e+00,-8,-77.0068817138672
-8.000000000000000000e+00,-7.5,-30.3034000396728
-8.000000000000000000e+00,-7,9.31426620483398
-8.000000000000000000e+00,-6.5,32.3779640197754
-8.000000000000000000e+00,-6,42.6906356811523
-8.000000000000000000e+00,-5.5,47.7707901000977
-8.000000000000000000e+00,-5,52.8734169006348
-8.000000000000000000e+00,-4.5,60.1618728637695
-8.000000000000000000e+00,-4,69.3182601928711
-8.000000000000000000e+00,-3.5,80.1355056762695
-8.000000000000000000e+00,-3,92.6098709106445
-8.000000000000000000e+00,-2.5,104.651489257812
-8.000000000000000000e+00,-2,117.509986877441
-8.000000000000000000e+00,-1.5,129.215148925781
-8.000000000000000000e+00,-1,133.725250244141
-8.000000000000000000e+00,-0.5,134.824813842773
-8.000000000000000000e+00,0,135.091888427734
-8.000000000000000000e+00,0.5,135.136032104492
-8.000000000000000000e+00,1,135.068008422852
-8.000000000000000000e+00,1.5,134.829116821289
-8.000000000000000000e+00,2,134.022644042969
-8.000000000000000000e+00,2.5,131.058792114258
-8.000000000000000000e+00,3,122.68424987793
-8.000000000000000000e+00,3.5,110.58186340332
-8.000000000000000000e+00,4,97.8884429931641
-8.000000000000000000e+00,4.5,84.6490936279297
-8.000000000000000000e+00,5,76.8369827270508
-8.000000000000000000e+00,5.5,73.4933013916016
-8.000000000000000000e+00,6,70.7700119018555
-8.000000000000000000e+00,6.5,64.2859802246094
-8.000000000000000000e+00,7,48.2008361816406
-8.000000000000000000e+00,7.5,26.6106224060059
-8.000000000000000000e+00,8,6.41303253173828
-8.000000000000000000e+00,8.5,-14.1545515060425
-8.000000000000000000e+00,9,-28.5662956237793
-8.000000000000000000e+00,9.5,-36.4123878479004
-8.000000000000000000e+00,10,-42.9408073425293
-8.000000000000000000e+00,-10,-147.724899291992
-7.500000000000000000e+00,-9.5,-146.008926391602
-7.500000000000000000e+00,-9,-141.147109985352
-7.500000000000000000e+00,-8.5,-127.139038085938
-7.500000000000000000e+00,-8,-95.1378479003906
-7.500000000000000000e+00,-7.5,-48.8003997802734
-7.500000000000000000e+00,-7,-8.1764612197876
-7.500000000000000000e+00,-6.5,15.5288887023926
-7.500000000000000000e+00,-6,25.8601036071777
-7.500000000000000000e+00,-5.5,30.9560699462891
-7.500000000000000000e+00,-5,36.1594047546387
-7.500000000000000000e+00,-4.5,43.6054916381836
-7.500000000000000000e+00,-4,52.9938735961914
-7.500000000000000000e+00,-3.5,64.1455078125
-7.500000000000000000e+00,-3,76.7599182128906
-7.500000000000000000e+00,-2.5,88.6264877319336
-7.500000000000000000e+00,-2,101.388809204102
-7.500000000000000000e+00,-1.5,112.661010742188
-7.500000000000000000e+00,-1,116.812850952148
-7.500000000000000000e+00,-0.5,117.778312683105
-7.500000000000000000e+00,0,117.971450805664
-7.500000000000000000e+00,0.5,117.949760437012
-7.500000000000000000e+00,1,117.810386657715
-7.500000000000000000e+00,1.5,117.48469543457
-7.500000000000000000e+00,2,116.546997070312
-7.500000000000000000e+00,2.5,113.327125549316
-7.500000000000000000e+00,3,104.643714904785
-7.500000000000000000e+00,3.5,92.7749252319336
-7.500000000000000000e+00,4,80.7363204956055
-7.500000000000000000e+00,4.5,67.4203033447265
-7.500000000000000000e+00,5,58.9702415466309
-7.500000000000000000e+00,5.5,55.2766761779785
-7.500000000000000000e+00,6,52.1087913513184
-7.500000000000000000e+00,6.5,44.4648513793945
-7.500000000000000000e+00,7,27.0668926239014
-7.500000000000000000e+00,7.5,6.00644779205322
-7.500000000000000000e+00,8,-13.8630504608154
-7.500000000000000000e+00,8.5,-34.0911521911621
-7.500000000000000000e+00,9,-47.7285194396973
-7.500000000000000000e+00,9.5,-55.2491073608398
-7.500000000000000000e+00,10,-61.8940544128418
-7.500000000000000000e+00,-10,-165.470077514648
-7.000000000000000000e+00,-9.5,-163.678833007812
-7.000000000000000000e+00,-9,-158.763214111328
-7.000000000000000000e+00,-8.5,-144.831726074219
-7.000000000000000000e+00,-8,-113.329620361328
-7.000000000000000000e+00,-7.5,-67.4467544555664
-7.000000000000000000e+00,-7,-25.9695434570312
-7.000000000000000000e+00,-6.5,-1.56609272956848
-7.000000000000000000e+00,-6,8.93610572814941
-7.000000000000000000e+00,-5.5,14.1616268157959
-7.000000000000000000e+00,-5,19.5478649139404
-7.000000000000000000e+00,-4.5,27.2248554229736
-7.000000000000000000e+00,-4,36.9199981689453
-7.000000000000000000e+00,-3.5,48.4614868164062
-7.000000000000000000e+00,-3,61.2234802246094
-7.000000000000000000e+00,-2.5,72.9421615600586
-7.000000000000000000e+00,-2,85.6557998657227
-7.000000000000000000e+00,-1.5,96.5286636352539
-7.000000000000000000e+00,-1,100.378173828125
-7.000000000000000000e+00,-0.5,101.249473571777
-7.000000000000000000e+00,0,101.399566650391
-7.000000000000000000e+00,0.5,101.338638305664
-7.000000000000000000e+00,1,101.152275085449
-7.000000000000000000e+00,1.5,100.763092041016
-7.000000000000000000e+00,2,99.7158355712891
-7.000000000000000000e+00,2.5,96.2564544677734
-7.000000000000000000e+00,3,87.2866668701172
-7.000000000000000000e+00,3.5,75.6557006835937
-7.000000000000000000e+00,4,64.3291473388672
-7.000000000000000000e+00,4.5,51.2323417663574
-7.000000000000000000e+00,5,42.2314529418945
-7.000000000000000000e+00,5.5,38.212287902832
-7.000000000000000000e+00,6,34.6031036376953
-7.000000000000000000e+00,6.5,25.768669128418
-7.000000000000000000e+00,7,7.56171035766602
-7.000000000000000000e+00,7.5,-12.6349077224731
-7.000000000000000000e+00,8,-32.2109794616699
-7.000000000000000000e+00,8.5,-51.9618072509766
-7.000000000000000000e+00,9,-64.7591247558594
-7.000000000000000000e+00,9.5,-71.9441757202148
-7.000000000000000000e+00,10,-78.693717956543
-7.000000000000000000e+00,-10,-182.313095092773
-6.500000000000000000e+00,-9.5,-180.450531005859
-6.500000000000000000e+00,-9,-175.452102661133
-6.500000000000000000e+00,-8.5,-161.51123046875
-6.500000000000000000e+00,-8,-130.394836425781
-6.500000000000000000e+00,-7.5,-85.0393600463867
-6.500000000000000000e+00,-7,-42.9082298278809
-6.500000000000000000e+00,-6.5,-17.7587451934814
-6.500000000000000000e+00,-6,-6.92656230926514
-6.500000000000000000e+00,-5.5,-1.45696401596069
-6.500000000000000000e+00,-5,4.19402027130127
-6.500000000000000000e+00,-4.5,12.1739063262939
-6.500000000000000000e+00,-4,22.2463665008545
-6.500000000000000000e+00,-3.5,34.2219200134277
-6.500000000000000000e+00,-3,47.1269302368164
-6.500000000000000000e+00,-2.5,58.7187957763672
-6.500000000000000000e+00,-2,71.4175796508789
-6.500000000000000000e+00,-1.5,81.9118347167969
-6.500000000000000000e+00,-1,85.5002136230469
-6.500000000000000000e+00,-0.5,86.3052215576172
-6.500000000000000000e+00,0,86.4357070922852
